bhk_encoded,furnishing_encoded,log_sqft,locality_count,zone_target_enc,zone_x_furnishing,rent_monthly,locality,city_zone
4,1,7.866722285136729,3,36703.846153846156,36703.846153846156,61500,Malleshwaram,West
1,0,5.993961427306569,10,36703.846153846156,0.0,7500,Rajajinagar,West
3,1,7.601402334583733,5,20297.224390243904,20297.224390243904,50000,Bannerghatta Main Road,South
2,1,6.55250788703459,1,26074.074074074073,26074.074074074073,13000,"Vinayakanagar, Hebbal",North
3,1,7.467942332285852,1,20297.224390243904,20297.224390243904,54000,"Jaya Nagar Block 1, Jayanagar",South
2,1,6.68586094706836,3,26074.074074074073,26074.074074074073,10500,Yelahanka New Town,North
3,0,7.0909098220799835,1,20297.224390243904,0.0,12000,in Bannerghatta Road,South
2,0,6.90875477931522,11,20297.224390243904,0.0,13000,"Electronic City Phase 2, Electronic City",South
2,2,7.155396301896734,12,26074.074074074073,52148.148148148146,50000,Hebbal,North
1,1,6.398594934535208,2,20297.224390243904,20297.224390243904,10000,Btm Layout Stage 4,South
3,1,7.601402334583733,12,26074.074074074073,26074.074074074073,65000,Hebbal,North
1,1,6.2166061010848646,2,20297.224390243904,20297.224390243904,12000,Koramangala Block 4,South
1,0,6.2166061010848646,1,20297.224390243904,0.0,8000,"Tilak Nagar, Jayanagar, bannerghatta main Road",South
1,1,6.089044875446846,24,20297.224390243904,20297.224390243904,7500,Electronic City,South
2,1,6.947937068614969,3,19117.6,19117.6,20000,Sarjapur Road,East
4,2,7.972810784121404,12,19117.6,38235.2,110000,whitefield,East
1,1,5.993961427306569,11,20297.224390243904,20297.224390243904,6000,"Electronic City Phase 2, Electronic City",South
1,0,6.68586094706836,13,19117.6,0.0,9000,Mahadevapura,East
2,1,6.68586094706836,12,19117.6,19117.6,10500,Ramamurthy Nagar,East
2,2,6.947937068614969,7,19117.6,38235.2,17000,C V Raman Nagar,East
1,1,6.398594934535208,7,19117.6,19117.6,15000,C V Raman Nagar,East
1,1,6.398594934535208,5,19117.6,19117.6,14500,Maruthi Sevanagar,East
2,1,6.952728644624869,5,19117.6,19117.6,18000,Maruthi Sevanagar,East
