id,source,locality,city_zone,bhk_type,rent_monthly,deposit_amount,area_sqft,furnishing,near_metro,listing_date,scraped_at,listing_url,price_per_sqft
2677,kaggle,Talagatta Pura,Other,3 BHK,70000,,3354,Furnished,,2022-06-30,2026-06-05 22:46:37.485506,,20.87
2678,kaggle,Nagappa Reddy layout-Dooravani Nagar,Other,2 BHK,10500,,800,Semi-Furnished,,2022-06-23,2026-06-05 22:46:37.485506,,13.12
2679,kaggle,"Kattigenahalli, Bellary Road",Other,2 BHK,13000,,1000,Semi-Furnished,,2022-07-04,2026-06-05 22:46:37.485506,,13.00
2681,kaggle,"Chikkalasandra, Bangalore",Other,3 BHK,21000,,1403,Semi-Furnished,,2022-06-04,2026-06-05 22:46:37.485506,,14.97
2682,kaggle,Talaghattapura,Other,2 BHK,10000,,600,Furnished,,2022-06-04,2026-06-05 22:46:37.485506,,16.67
2683,kaggle,Malleshwaram,West,4 BHK,61500,,2608,Semi-Furnished,,2022-07-09,2026-06-05 22:46:37.485506,,23.58
2684,kaggle,"Ramaiah Layout, Kacharakanahalli",Other,2 BHK,13000,,850,Semi-Furnished,,2022-05-11,2026-06-05 22:46:37.485506,,15.29
2685,kaggle,Rajajinagar,West,1 BHK,7500,,400,Unfurnished,,2022-06-04,2026-06-05 22:46:37.485506,,18.75
2687,kaggle,Kengeri Main Road,Other,3 BHK,25000,,1350,Semi-Furnished,,2022-06-23,2026-06-05 22:46:37.485506,,18.52
2689,kaggle,Thanisandra,Other,1 BHK,8000,,350,Semi-Furnished,,2022-05-04,2026-06-05 22:46:37.485506,,22.86
2691,kaggle,Bannerghatta Main Road,South,3 BHK,50000,,2000,Semi-Furnished,,2022-07-06,2026-06-05 22:46:37.485506,,25.00
2692,kaggle,"Vinayakanagar, Hebbal",North,2 BHK,13000,,700,Semi-Furnished,,2022-05-09,2026-06-05 22:46:37.485506,,18.57
2693,kaggle,venkatapuram,Other,1 BHK,13500,,600,Semi-Furnished,,2022-05-20,2026-06-05 22:46:37.485506,,22.50
2694,kaggle,"Vv Nagar, Bikasipura",Other,2 BHK,13000,,700,Semi-Furnished,,2022-06-16,2026-06-05 22:46:37.485506,,18.57
2697,kaggle,Kacharakanahalli,Other,1 BHK,7000,,600,Unfurnished,,2022-05-10,2026-06-05 22:46:37.485506,,11.67
2698,kaggle,Tumkur Road,Other,2 BHK,25000,,770,Furnished,,2022-05-10,2026-06-05 22:46:37.485506,,32.47
